time,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir
2015-01-01 00:00:00+01:00,,863.0,1051.0,1899.0
2015-01-01 01:00:00+01:00,,920.0,1009.0,1658.0
2015-01-01 02:00:00+01:00,,1164.0,973.0,1371.0
2015-01-01 03:00:00+01:00,,1503.0,949.0,779.0
2015-01-01 04:00:00+01:00,,1826.0,953.0,720.0
2015-01-01 05:00:00+01:00,,2109.0,952.0,743.0
2015-01-01 06:00:00+01:00,,2108.0,961.0,848.0
2015-01-01 07:00:00+01:00,,2031.0,983.0,1012.0
2015-01-01 08:00:00+01:00,,2119.0,1001.0,1015.0
2015-01-01 09:00:00+01:00,,2170.0,1041.0,1357.0
2015-01-01 10:00:00+01:00,,2020.0,1041.0,1817.0
2015-01-01 11:00:00+01:00,,1183.0,1069.0,1516.0
2015-01-01 12:00:00+01:00,,972.0,1052.0,1204.0
2015-01-01 13:00:00+01:00,,922.0,1041.0,1286.0
2015-01-01 14:00:00+01:00,,941.0,1028.0,1027.0
2015-01-01 15:00:00+01:00,,1069.0,1023.0,1151.0
2015-01-01 16:00:00+01:00,,970.0,1032.0,1156.0
2015-01-01 17:00:00+01:00,,798.0,1036.0,1626.0
2015-01-01 18:00:00+01:00,,1.0,1094.0,3203.0
2015-01-01 19:00:00+01:00,,1.0,1153.0,5333.0
2015-01-01 20:00:00+01:00,,0.0,1214.0,6183.0
2015-01-01 21:00:00+01:00,,0.0,1220.0,6231.0
2015-01-01 22:00:00+01:00,,0.0,1178.0,5359.0
2015-01-01 23:00:00+01:00,,0.0,1095.0,3511.0
2015-01-02 00:00:00+01:00,,1290.0,1268.0,3871.0
2015-01-02 01:00:00+01:00,,1996.0,1263.0,2996.0
2015-01-02 02:00:00+01:00,,2698.0,1246.0,2581.0
2015-01-02 03:00:00+01:00,,3269.0,1248.0,2933.0
2015-01-02 04:00:00+01:00,,3267.0,1233.0,2646.0
2015-01-02 05:00:00+01:00,,3258.0,1225.0,2529.0
2015-01-02 06:00:00+01:00,,3256.0,1241.0,2658.0
2015-01-02 07:00:00+01:00,,2987.0,1247.0,2706.0
2015-01-02 08:00:00+01:00,,2447.0,1274.0,3090.0
2015-01-02 09:00:00+01:00,,1907.0,1297.0,3579.0
2015-01-02 10:00:00+01:00,,938.0,1319.0,4289.0
2015-01-02 11:00:00+01:00,,747.0,1333.0,4332.0
2015-01-02 12:00:00+01:00,,864.0,1324.0,3619.0
2015-01-02 13:00:00+01:00,,906.0,1281.0,3392.0
2015-01-02 14:00:00+01:00,,1047.0,1281.0,3487.0
2015-01-02 15:00:00+01:00,,1491.0,1284.0,2984.0
2015-01-02 16:00:00+01:00,,1975.0,1283.0,3104.0
2015-01-02 17:00:00+01:00,,1760.0,1295.0,3102.0
2015-01-02 18:00:00+01:00,,595.0,1324.0,3886.0
2015-01-02 19:00:00+01:00,,78.0,1352.0,5553.0
2015-01-02 20:00:00+01:00,,68.0,1369.0,5604.0
2015-01-02 21:00:00+01:00,,68.0,1370.0,5902.0
2015-01-02 22:00:00+01:00,,68.0,1365.0,5347.0
2015-01-02 23:00:00+01:00,,68.0,1323.0,4969.0
2015-01-03 00:00:00+01:00,,502.0,1423.0,3719.0
2015-01-03 01:00:00+01:00,,1048.0,1392.0,3482.0
