time,total load forecast,total load actual
2015-01-01 00:00:00+01:00,26118,25385.0
2015-01-01 01:00:00+01:00,24934,24382.0
2015-01-01 02:00:00+01:00,23515,22734.0
2015-01-01 03:00:00+01:00,22642,21286.0
2015-01-01 04:00:00+01:00,21785,20264.0
2015-01-01 05:00:00+01:00,21441,19905.0
2015-01-01 06:00:00+01:00,21285,20010.0
2015-01-01 07:00:00+01:00,21545,20377.0
2015-01-01 08:00:00+01:00,21443,20094.0
2015-01-01 09:00:00+01:00,21560,20637.0
2015-01-01 10:00:00+01:00,22824,22250.0
2015-01-01 11:00:00+01:00,23720,23547.0
2015-01-01 12:00:00+01:00,24180,24133.0
2015-01-01 13:00:00+01:00,24797,24713.0
2015-01-01 14:00:00+01:00,25222,24672.0
2015-01-01 15:00:00+01:00,24173,23528.0
2015-01-01 16:00:00+01:00,23659,23118.0
2015-01-01 17:00:00+01:00,23982,23606.0
2015-01-01 18:00:00+01:00,26981,26447.0
2015-01-01 19:00:00+01:00,28515,28020.0
2015-01-01 20:00:00+01:00,30482,29014.0
2015-01-01 21:00:00+01:00,30739,29571.0
2015-01-01 22:00:00+01:00,29756,29031.0
2015-01-01 23:00:00+01:00,27589,26798.0
2015-01-02 00:00:00+01:00,27309,27070.0
2015-01-02 01:00:00+01:00,25397,24935.0
2015-01-02 02:00:00+01:00,23640,23214.0
2015-01-02 03:00:00+01:00,22638,22540.0
2015-01-02 04:00:00+01:00,22238,22096.0
2015-01-02 05:00:00+01:00,22299,22066.0
2015-01-02 06:00:00+01:00,22660,22275.0
2015-01-02 07:00:00+01:00,23449,23025.0
2015-01-02 08:00:00+01:00,24067,23699.0
2015-01-02 09:00:00+01:00,25737,25834.0
2015-01-02 10:00:00+01:00,27883,27927.0
2015-01-02 11:00:00+01:00,28969,29072.0
2015-01-02 12:00:00+01:00,28894,29071.0
2015-01-02 13:00:00+01:00,29460,29439.0
2015-01-02 14:00:00+01:00,29389,29241.0
2015-01-02 15:00:00+01:00,28231,27973.0
2015-01-02 16:00:00+01:00,27716,27320.0
2015-01-02 17:00:00+01:00,27981,27157.0
2015-01-02 18:00:00+01:00,30136,29045.0
2015-01-02 19:00:00+01:00,32754,31967.0
2015-01-02 20:00:00+01:00,33968,33266.0
2015-01-02 21:00:00+01:00,33870,33668.0
2015-01-02 22:00:00+01:00,32715,32426.0
2015-01-02 23:00:00+01:00,30052,29705.0
2015-01-03 00:00:00+01:00,26323,25564.0
2015-01-03 01:00:00+01:00,24301,23584.0
2015-01-03 02:00:00+01:00,22651,22194.0
2015-01-03 03:00:00+01:00,21785,21296.0
2015-01-03 04:00:00+01:00,21418,21145.0
2015-01-03 05:00:00+01:00,21317,21316.0
2015-01-03 06:00:00+01:00,21768,21674.0
2015-01-03 07:00:00+01:00,22276,22127.0
2015-01-03 08:00:00+01:00,22674,22756.0
2015-01-03 09:00:00+01:00,24595,24654.0
