time,price day ahead,price actual
2015-01-01 00:00:00+01:00,50.1,65.41
2015-01-01 01:00:00+01:00,48.1,64.92
2015-01-01 02:00:00+01:00,47.33,64.48
2015-01-01 03:00:00+01:00,42.27,59.32
2015-01-01 04:00:00+01:00,38.41,56.04
2015-01-01 05:00:00+01:00,35.72,53.63
2015-01-01 06:00:00+01:00,35.13,51.73
2015-01-01 07:00:00+01:00,36.22,51.43
2015-01-01 08:00:00+01:00,32.4,48.98
2015-01-01 09:00:00+01:00,36.6,54.2
2015-01-01 10:00:00+01:00,43.1,58.94
2015-01-01 11:00:00+01:00,45.14,59.86
2015-01-01 12:00:00+01:00,45.14,60.12
2015-01-01 13:00:00+01:00,47.35,62.05
2015-01-01 14:00:00+01:00,47.35,62.06
2015-01-01 15:00:00+01:00,43.61,59.76
2015-01-01 16:00:00+01:00,44.91,61.18
2015-01-01 17:00:00+01:00,48.1,64.74
2015-01-01 18:00:00+01:00,58.02,74.26
2015-01-01 19:00:00+01:00,61.01,74.24
2015-01-01 20:00:00+01:00,62.69,75.64
2015-01-01 21:00:00+01:00,60.41,73.92
2015-01-01 22:00:00+01:00,58.15,70.53
2015-01-01 23:00:00+01:00,53.6,64.13
2015-01-02 00:00:00+01:00,10.0,64.02
2015-01-02 01:00:00+01:00,7.0,58.46
2015-01-02 02:00:00+01:00,5.0,54.7
2015-01-02 03:00:00+01:00,4.0,54.91
2015-01-02 04:00:00+01:00,4.0,53.07
2015-01-02 05:00:00+01:00,4.8,54.23
2015-01-02 06:00:00+01:00,5.0,58.22
2015-01-02 07:00:00+01:00,7.04,67.55
2015-01-02 08:00:00+01:00,7.04,70.33
2015-01-02 09:00:00+01:00,7.88,71.26
2015-01-02 10:00:00+01:00,10.71,75.86
2015-01-02 11:00:00+01:00,10.0,73.65
2015-01-02 12:00:00+01:00,7.04,74.19
2015-01-02 13:00:00+01:00,7.0,71.51
2015-01-02 14:00:00+01:00,6.33,71.04
2015-01-02 15:00:00+01:00,5.0,71.24
2015-01-02 16:00:00+01:00,6.21,70.64
2015-01-02 17:00:00+01:00,9.98,72.85
2015-01-02 18:00:00+01:00,33.15,82.55
2015-01-02 19:00:00+01:00,50.0,83.33
2015-01-02 20:00:00+01:00,52.01,83.23
2015-01-02 21:00:00+01:00,50.01,79.06
